"ntaxa"	"mpd.obs"	"mpd.rand.mean"	"mpd.rand.sd"	"mpd.obs.rank"	"mpd.obs.z"	"mpd.obs.p"	"runs"
"Cacyreus lingeus"	2	247.46917	273.343232464646	100.905311296107	37	-0.256419232370425	0.37	99
"Caenides dacela"	2	99.1432	268.770169626263	81.4654507262533	1	-2.08219518966705	0.01	99
"Calephelis nemesis"	2	263.36209	272.258075989899	89.627515167894	57.5	-0.099255077787604	0.575	99
"Calephelis perditalis"	2	90.5191	271.956692727273	89.5290672591455	1	-2.02657749356524	0.01	99
"Calephelis virginiensis"	2	90.5191	271.956692727273	89.5290672591455	1	-2.02657749356524	0.01	99
"Caleta caleta"	2	102.7964	263.568442727273	85.3430794006555	2	-1.88383221998008	0.02	99
"Caligo eurilochus"	5	144.930142	260.317971377778	38.9881426039938	1	-2.95956210455529	0.01	99
"Calinaga buddha"	2	84.9278	296.244680232323	127.539101484657	1	-1.65687916703525	0.01	99
"Calleagris jamesoni"	2	192	296.745691383838	135.435320170237	4	-0.773400109012752	0.04	99
"Callerebia annada"	2	95.4795	273.498210636364	88.9901911768869	1	-2.00043070232891	0.01	99
"Callicore astarte"	2	121.5324	257.077697151515	63.1440943924201	2	-2.14660291600898	0.02	99
"Callithomia lenea"	2	79.32	268.01839449495	81.1064053107809	1	-2.32655354126349	0.01	99
"Callophrys rubi"	9	232.8048495	278.221800377666	50.1317675731934	2	-0.905951516897063	0.02	99
"Calpodes ethlius"	4	99.210095	266.582657725589	61.214458518802	1	-2.73419984061741	0.01	99
"Caltoris cormasa"	2	95.4795	273.498210636364	88.9901911768869	1	-2.00043070232891	0.01	99
"Calycopis cecrops"	5	229.0363178	268.421274165657	52.477455466844	3	-0.750511929652165	0.03	99
"Calydna sturnula"	2	90.7909	271.671787585859	100.3622123685	1	-1.80228079191517	0.01	99
"Candalides xanthospilos"	2	60.1216	272.788298171717	101.929136380982	1	-2.0864171494285	0.01	99
"Caprona pillaana"	2	76.7222	256.331343525253	75.0202965391459	1	-2.39414067673715	0.01	99
"Capronnieria galesus"	2	95.4795	273.498210636364	88.9901911768869	1	-2.00043070232891	0.01	99
"Capys alpheus"	2	92.1087	267.436852323232	93.0428988577679	2	-1.88437972672425	0.02	99
"Carcharodus alceae"	2	237.158012	261.626637858586	73.7370099084961	20	-0.331836426361066	0.2	99
"Carcharodus lavatherae"	2	142	289.321729272727	123.564131789375	2	-1.1922693676499	0.02	99
"Caria ino"	2	271.51741	281.105534191919	104.088411460587	71	-0.092115193779758	0.71	99
"Caria mantinea"	2	142.37061	268.153075414141	92.5625558029292	3	-1.35889144722775	0.03	99
"Carrhenes canescens"	2	76.7222	256.331343525253	75.0202965391459	1	-2.39414067673715	0.01	99
"Carterocephalus palaemon"	2	95.4795	273.498210636364	88.9901911768869	1	-2.00043070232891	0.01	99
"Carystus phorcus"	2	99.1432	268.770169626263	81.4654507262533	1	-2.08219518966705	0.01	99
"Cassionympha cassius"	2	187.64298	264.493161292929	85.4117398412977	4	-0.89976133767704	0.04	99
"Castalius rosimon"	2	102.7964	263.568442727273	85.3430794006555	2	-1.88383221998008	0.02	99
"Catacroptera cloanthe"	2	174.33691	271.874034626263	101.52786238995	4	-0.960693176535528	0.04	99
"Catapaecilma elegans"	2	237.157773	259.193523737374	73.6964260466072	18	-0.299007047145514	0.18	99
"Catapaecilma major"	8	226.456955535714	269.44325426912	39.7684775356717	1	-1.08091386437531	0.01	99
"Catasticta nimbice"	2	159.8647	282.563350686869	111.843506319234	2	-1.09705654556869	0.02	99
"Catochrysops strabo"	2	237.158162	287.110702484849	116.839415639747	26	-0.427531584365913	0.26	99
"Catonephele numilia"	3	260.262445333333	265.95162620202	59.2023819085884	65	-0.0960971617235146	0.65	99
"Catopsilia scylla"	2	192	296.745691383838	135.435320170237	4	-0.773400109012752	0.04	99
"Catopyrops ancyra"	5	219.2393418	282.470132911111	70.5792470111933	1	-0.895883617192505	0.01	99
"Celaenorrhinus aurivittata"	2	64.188	264.94516710101	82.6422096269744	1	-2.42923280980961	0.01	99
"Celaenorrhinus leucocera"	2	69.4758	267.843463151515	106.275976327714	3	-1.86653343498653	0.03	99
"Celaenorrhinus patula"	2	69.4758	267.843463151515	106.275976327714	3	-1.86653343498653	0.03	99
"Celastrina argiolus"	9	227.988088888889	283.316928241302	55.9210805002252	2	-0.989409340046465	0.02	99
"Celotes nessus"	2	76.7222	256.331343525253	75.0202965391459	1	-2.39414067673715	0.01	99
"Cephrenes augiades"	2	99.1432	268.770169626263	81.4654507262533	1	-2.08219518966705	0.01	99
"Cepora nerissa"	2	208.516918	279.452024919192	104.4368404514	2	-0.679215367035176	0.02	99
"Ceratinia neso"	2	79.32	268.01839449495	81.1064053107809	1	-2.32655354126349	0.01	99
"Ceratrichia phocion"	2	95.4795	273.498210636364	88.9901911768869	1	-2.00043070232891	0.01	99
"Cerautola ceraunia"	0	NA	NA	NA	NA	NA	NA	99
"Cercyonis oetus"	2	95.4795	273.498210636364	88.9901911768869	1	-2.00043070232891	0.01	99
