"ntaxa"	"mntd.obs"	"mntd.rand.mean"	"mntd.rand.sd"	"mntd.obs.rank"	"mntd.obs.z"	"mntd.obs.p"	"runs"
"Atrophaneura alcinous"	2	271.825562	256.637311787879	63.3777144779354	94	0.239646543540299	0.94	99
"Atrophaneura coon"	2	271.825418	272.724309505051	89.4220720285089	89	-0.0100522330187557	0.89	99
"Atrophaneura neptunus"	2	271.397015	260.051075323232	61.7885169002607	57	0.183625376460845	0.57	99
"Atrophaneura semperi"	2	176.8466	260.609469515152	62.2394110621738	3	-1.34581719340944	0.03	99
"Atrytone arogos"	2	95.4795	287.043633616162	116.81096047351	1	-1.63994999133326	0.01	99
"Atrytonopsis hianna"	2	95.4795	287.043633616162	116.81096047351	1	-1.63994999133326	0.01	99
"Aubergina alda"	2	76.7222	272.277587767677	108.578161807021	1	-1.80105634975883	0.01	99
"Augiades crinisus"	2	103.4133	266.930266606061	81.0863244363916	1	-2.01657884658876	0.01	99
"Autochton cellus"	2	192	271.815056828283	90.009529642657	4	-0.886740072358485	0.04	99
"Axiocerses harpax"	2	247.46938	264.989499828283	83.5963049776767	51	-0.209580074537521	0.51	99
"Azanus mirza"	2	237.158162	270.230798141414	90.8024905269498	19	-0.364226090600437	0.19	99
"Azanus natalensis"	2	192	271.815056828283	90.009529642657	4	-0.886740072358485	0.04	99
"Azanus ubaldus"	2	192	271.815056828283	90.009529642657	4	-0.886740072358485	0.04	99
"Badamia exclamationis"	4	187.016624	251.297150391414	42.0679714875646	3	-1.52801583053311	0.03	99
"Baliochila barnesi"	0	NA	NA	NA	NA	NA	NA	99
"Baoris farri"	2	95.4795	287.043633616162	116.81096047351	1	-1.63994999133326	0.01	99
"Baoris oceia"	2	95.4795	287.043633616162	116.81096047351	1	-1.63994999133326	0.01	99
"Baracus vittatus"	2	95.4795	287.043633616162	116.81096047351	1	-1.63994999133326	0.01	99
"Baronia brevicornis"	2	192	271.815056828283	90.009529642657	4	-0.886740072358485	0.04	99
