"PD"	"SR"
"Lasaia agesilas"	325.050502	1
"Lasaia sula"	325.050502	1
"Lasiommata megera"	325.050732	1
"Lebadea martha"	564.571421	3
"Lemonias zygia"	0	0
"Leodonta tellane"	325.05083	1
"Lep accepted name"	0	0
"Lepella lepeletier"	325.050972	1
"Lepidochrysops patricia"	372.321976	2
"Leptalina unicolor"	325.050732	1
"Leptidea juvernica"	325.050502	1
"Leptidea reali"	0	0
"Leptidea sinapis"	325.050502	1
"Leptomyrina gorgias"	448.785612	2
"Leptophobia eleone"	0	0
"Leptosia alcesta"	448.784785	2
"Leptotes cassius"	448.784902	2
"Lerema accius"	325.050732	1
"Lerodea eufala"	418.872232	2
"Lethe anthedon"	460.809295	2
"Lethe dura"	325.050732	1
"Lethe europa"	325.050732	1
"Lethe rohria"	325.050732	1
"Leucantigius atayalica"	325.050512	1
"Leucidia brephos"	325.050502	1
"Leucochimona icare"	325.050502	1
"Leucochitonea levubu"	325.050645	1
"Lexias aeropa"	325.050687	1
"Libythea celtis"	325.050872	1
"Libythea lepita"	325.050872	1
"Lieinix nemesis"	325.050502	1
"Limenitis arthemis"	748.826504	5
"Limenitis cottini"	325.050658	1
"Limenitis populi"	325.050658	1
"Limenitis sulpitia"	325.050432	1
"Lipaphnaeus aderna"	325.050484	1
"Liphyra brassolis"	0	0
"Logania malayica"	0	0
"Lopinga deidamia"	325.050732	1
"Lotongus calathus"	325.050282	1
"Loxura atymnus"	444.822932	2
"Lucia limbaria"	325.050771	1
"Lucinia cadma"	325.050552	1
"Luehdorfia japonica"	325.05077	1
"Luehdorfia puziloi"	325.05077	1
"Luthrodes cleotas"	325.0504	1
"Lycaena hippothoe"	325.050152	1
"Lycas argentea"	325.050952	1
"Lychnuchoides ozias"	0	0
"Lycorea halia"	567.364235	3
"Lysandra coridon"	325.050502	1
"Macrosoma hyacinthina"	325.050645	1
"Macrosoma rubedinaria"	325.050645	1
"Macrosoma tipulata"	325.050645	1
"Magnastigma hirsuta"	0	0
"Magneuptychia alcinoe"	325.050732	1
"Magneuptychia libye"	325.050732	1
"Magneuptychia ocnus"	0	0
"Mahathala ameria"	448.784961	2
"Manataria hercyna"	325.050732	1
"Mandarinia regalis"	0	0
"Maniola jurtina"	325.050732	1
"Manto hypoleuca"	0	0
"Marpesia eleuchea"	325.050862	1
"Matapa aria"	325.050732	1
"Mathania aureomaculata"	0	0
"Maurus vogelii"	325.050402	1
"Mcclungia cymo"	325.050802	1
"Meandrusa lachinus"	0	0
"Mechanitis lysimnia"	325.050802	1
"Mechanitis polymnia"	325.050802	1
"Megathymus streckeri"	325.050132	1
"Megathymus ursus"	325.050132	1
"Megathymus yuccae"	325.050132	1
"Megeuptychia antonoe"	325.050952	1
"Megisba malaya"	559.416123	3
"Megisto cymela"	325.050732	1
"Megisto rubricata"	325.050732	1
"Melampias huebneri"	325.050732	1
"Melanargia galathea"	325.050732	1
"Melanis pixe"	325.050502	1
