PD	SR
Heliconius besckei	325.050658	1
Heliconius charithonia	325.050658	1
Heliconius cydno	325.050658	1
Heliconius eleuchia	0	0
Heliconius elevatus	0	0
Heliconius erato	325.050658	1
Heliconius ethilla	325.050658	1
Heliconius hecale	325.050658	1
Heliconius hermathena	0	0
Heliconius heurippa	0	0
Heliconius hewitsoni	0	0
Heliconius himera	0	0
Heliconius hortense	0	0
Heliconius ismenius	325.050658	1
Heliconius melpomene	325.050658	1
Heliconius numata	325.050658	1
Heliconius pardalinus	0	0
Heliconius ricini	0	0
Heliconius sapho	325.050658	1
Heliconius sara	325.050658	1
Heliconius timareta	0	0
Heliconius wallacei	325.050658	1
Heliconius xanthocles	325.050658	1
Helicopis cupido	0	0
Heliopetes ericetorum	325.050645	1
Heliophorus epicles	325.050152	1
Heliopyrgus domicella	0	0
Hemiolaus caeculus	325.050922	1
Heraclides aristodemus	325.049924	1
Heraclides cresphontes	325.049924	1
Heraclides thoas	460.962694	2
Herimosa albovenata	325.050732	1
Hermeuptychia hermes	325.050732	1
Hermeuptychia sosybius	325.050732	1
Herona marathus	325.050872	1
Hesperia comma	460.809112	2
Hesperia meskei	325.050732	1
Hesperilla ornata	325.050752	1
Hesperocharis marchalii	325.050395	1
Hesperopsis alpheus	325.050352	1
Hestina assimilis	325.050872	1
Hestinalis nama	325.050262	1
Hestina persimilis	325.050872	1
Heteronympha merope	325.050732	1
Heteropterus morpheus	325.050732	1
Heterosais nephele	0	0
Hewitsonia intermedia	0	0
Hewitsoniella migonitis	0	0
Hidari irava	431.784452	2
Hipparchia senthes	0	0
Historis odius	325.050262	1
Horaga onyx	576.74932	3
Howarthia caelestis	0	0
Hyarotis adrastus	325.050282	1
Hylephila phyleus	325.050732	1
Hypanartia lethe	398.519362	2
Hypaurotis crysalus	0	0
Hypermnestra helios	325.050902	1
Hyphilaria thasus	325.050532	1
Hypna clytemnestra	325.050651	1
Hypochrysops polycletus	325.050687	1
Hypoleria lavinia	325.050802	1
Hypoleucis tripunctata	325.050972	1
Hypolimnas anthedon	448.784582	2
Hypolimnas bolina	1194.416365	10
Hypolimnas misippus	832.510695	7
Hypolycaena phorbas	1353.698576	10
Hypolycaena sipylus	325.050502	1
Hyponephele lycaon	325.050732	1
Hypothyris euclea	325.050802	1
Hypsochila wagenknechti	0	0
Iambrix salsala	325.050732	1
Idea leuconoe	325.050552	1
Ideopsis gaura	325.050552	1
Ideopsis vitrea	325.050552	1
Inbio hilara	0	0
Iolana iolas	325.050502	1
Iolaus bellina	0	0
Iophanus pyrrhias	0	0
Iphiclides podalirius	325.050892	1
Ipidecla miadora	0	0
Iraota rochana	325.050862	1
Iratsume orsedice	447.456212	2
Iridana perdita	0	0
Isma bononia	0	0
Isoteinon lamprospilus	325.050732	1
Issoria baumanni	0	0
Issoria lathonia	564.570858	3
Ithomia drymo	325.050802	1
Ithomia patilla	325.050802	1
Ixias pyrene	325.050465	1
Jacoona anasuja	325.050922	1
Jalmenus evagoras	325.050502	1
Jameela palmyra	325.050922	1
Jamides bochus	325.050502	1
Japonica saepestriata	325.050512	1
Jemadia pseudognetus	325.050763	1
Jonaspyge aesculapus	0	0
Juditha caucana	325.050502	1
Junea doraete	0	0
Junonia coenia	508.905242	5
Junonia natalica	372.321322	2
Kallima limborgii	325.049922	1
Kallima paralekta	325.049922	1
Kallimoides rumia	0	0
Kaniska canace	380.626882	2
Kedestes barberae	325.050732	1
Kirinia epimenides	0	0
Kisutam syllis	0	0
Kolana ligurina	0	0
Kretania psylorita	0	0
Kricogonia lyside	325.050902	1
Lachnocnema bibulus	0	0
Lachnoptera ayresii	419.915951	2
Laeosopis roboris	325.050562	1
Lampides boeticus	325.050502	1
Lamprolenis nitida	0	0
Lamproptera curius	325.05036	1
Lamproptera meges	325.05036	1
Laothus barajo	325.050272	1
Lasaia agesilas	0	0
Lasaia sula	325.050502	1
Lasiommata megera	325.050732	1
Lebadea martha	325.050502	1
Lemonias zygia	0	0
Leodonta tellane	0	0
Lep accepted name	0	0
Lepella lepeletier	0	0
Lepidochrysops patricia	325.050576	1
Leptalina unicolor	325.050732	1
Leptidea juvernica	0	0
Leptidea reali	0	0
Leptidea sinapis	325.050502	1
Leptomyrina gorgias	325.051262	1
Leptophobia eleone	0	0
Leptosia alcesta	325.050465	1
Leptotes cassius	448.784902	2
Lerema accius	325.050732	1
Lerodea eufala	325.050732	1
Lethe anthedon	325.050732	1
Lethe dura	0	0
Lethe europa	325.050732	1
Lethe rohria	325.050732	1
Leucantigius atayalica	325.050512	1
Leucidia brephos	0	0
Leucochimona icare	0	0
Leucochitonea levubu	0	0
Lexias aeropa	325.050687	1
Libythea celtis	325.050872	1
Libythea lepita	325.050872	1
Lieinix nemesis	325.050502	1
Limenitis arthemis	649.864734	4
Limenitis cottini	325.050658	1
Limenitis populi	325.050658	1
