Phy_ID,sp_ID,Family,Subfamily,Tribe,Genus valid_imaged,Species valid_imaged,Scientific name valid_imaged,Number_of_host_families,PD,MPD,MNTD,DSI_MPD,DSI_MNTD,host_families
96,B_9343,Lycaenidae,Theclinae,Luciini,Lucia,limbaria,Lucia limbaria,4,631.815428,239.3387647,195.601102,-0.451928495,-1.397186975,Lamiaceae Verbenaceae Smilacaceae Sapindaceae
97,B_4662,Lycaenidae,Theclinae,Candalidini,Candalides,geminus,Candalides geminus,1 1,325.050705 325.049924,60.1216 118,60.1216 118,-3.927433245,-5.961608254,Thymelaeaceae Rutaceae
98,B_9679,Lycaenidae,Theclinae,Zesiusini,Jalmenus,evagoras,Jalmenus evagoras,8,1136.183904,244.5388986,223.2146318,-0.571010157,-0.110800067,Fabaceae Smilacaceae Malvaceae Combretaceae Myrtaceae Oxalidaceae Loranthaceae Anacardiaceae
99,B_9685,Lycaenidae,Theclinae,Zesiusini,Pseudalmenus,chlorinda,Pseudalmenus chlorinda,8,1136.183904,244.5388986,223.2146318,-0.571010157,-0.110800067,Fabaceae Smilacaceae Malvaceae Combretaceae Myrtaceae Oxalidaceae Loranthaceae Anacardiaceae
100,B_4412,Lycaenidae,Lycaeninae,0,Lycaena,helloides,Lycaena helloides,NA,NA,NA,NA,NA,NA,NA
101,B_4642,Lycaenidae,Miletinae,Spalgini,Spalgis,epeus,Spalgis epeus,,,,,,,Coccidae Pseudococcidae Coccidae Pseudococcidae
102,B_4648,Lycaenidae,Miletinae,Tarakini,Taraka,hamada,Taraka hamada,,,,,,,Aphididae Hormaphididae
103,B_4596,Lycaenidae,Miletinae,Miletini,Allotinus,unicolor,Allotinus unicolor,,,,,,,Coccidae Formicidae
104,B_4474,Lycaenidae,Miletinae,Lachnocnemini,Lachnocnema,durbani,Lachnocnema durbani,,,,,,,Coccidae Hemiptera Formicidae
105,B_4558,Lycaenidae,Liphyrinae,0,Liphyra,brassolis,Liphyra brassolis,NA,NA,NA,NA,NA,NA,NA
106,B_6825,Lycaenidae,Lipteninae,Pentilini,Pentila,pauli,Pentila pauli,,,,,,,leaf litter lichen
107,B_6534,Lycaenidae,Lipteninae,Liptenini,Liptena,rochei,Liptena rochei,,,,,,,lichen
108,B_6423,Lycaenidae,Lipteninae,Liptenini,Hewitsonia,boisduvalii,Hewitsonia boisduvalii,,,,,,,lichen
109,B_6905,Lycaenidae,Poritiinae,Poritiini,Poritia,erycinoides,Poritia erycinoides,1,325.050645,76.7222,76.7222,-2.394140677,-1.80105635,Malvaceae
110,B_7152,Lycaenidae,Aphnaeinae,Aphnaeini,Cigaritis,lohita,Cigaritis lohita,NA,NA,NA,NA,NA,NA,NA
111,B_4341,Lycaenidae,Curetinae,0,Curetis,tagalica,Curetis tagalica,NA,NA,NA,NA,NA,NA,NA
112,B_18829,Riodinidae,Riodininae,Riodinini,Baeotis,zonata,Baeotis zonata,1,325.050502,192,192,-0.773400109,-0.886740072,Fabaceae
113,B_19068,Riodinidae,Riodininae,Riodinini,Riodina,lysippus,Riodina lysippus,1,325.050502,192,192,-0.773400109,-0.886740072,Fabaceae
114,B_18242,Riodinidae,Riodininae,Helicopini,Sarota,gamelia,Sarota gamelia,5,808.030247,248.7323168,238.2723574,-0.443259,-0.105540557,Fabaceae Lauraceae Euphorbiaceae Myrtaceae Cannabaceae
115,B_18228,Riodinidae,Riodininae,Helicopini,Helicopis,cupido,Helicopis cupido,5,808.030247,248.7323168,238.2723574,-0.443259,-0.105540557,Fabaceae Lauraceae Euphorbiaceae Myrtaceae Cannabaceae
116,B_19143,Riodinidae,Riodininae,Symmachiini,Mesene,phareus,Mesene phareus,4,680.066015,240.3545748,233.8584608,-0.47018203,-0.319054349,Clethraceae Fabaceae Malvaceae Cannabaceae
117,B_19262,Riodinidae,Riodininae,Emesidini,Apodemia,hypoglauca,Apodemia hypoglauca,2 7 1 22 1 2 1 2,437.752372 1001.483973 325.050302 2572.460746 325.050792 456.731602 325.050792 437.752012,225.40342 239.2889737 112.1598 242.9622261 132.124 263.36213 132.124 225.40311,225.40342 219.7422599 112.1598 205.8806574 132.124 263.36213 132.124 225.40311,-8.489158979,-0.542165365 -0.196722137 -2.009554456 0.341258915 -1.62369963 0.620764097 -1.62369963 -0.491699937,Fabaceae Cannabaceae Fabaceae Clusiaceae Phyllanthaceae Salicaceae Myrtaceae Piperaceae Simaroubaceae Nyctaginaceae Araliaceae Polygonaceae Clethraceae Fabaceae Fagaceae Lauraceae Annonaceae Euphorbiaceae Hypericaceae Malpighiaceae Phyllanthaceae Salicaceae Malvaceae Combretaceae Myrtaceae Proteaceae Cannabaceae Anacardiaceae Meliaceae Rutaceae Sapindaceae Boraginaceae Ranunculaceae Nyctaginaceae Ranunculaceae Ranunculaceae Fabaceae Fagaceae
118,B_18769,Riodinidae,Riodininae,Nymphidiini,Theope,virgilius,Theope virgilius,1 1,325.050651 325.050502,123.7924 192,123.7924 192,-2.393657282,-2.426283464,Euphorbiaceae Fabaceae
119,B_18607,Riodinidae,Riodininae,Nymphidiini,Nymphidium,onaeum,Nymphidium onaeum,1 1,325.050651 325.050502,123.7924 192,123.7924 192,-2.393657282,-2.426283464,Euphorbiaceae Fabaceae
120,B_19090,Riodinidae,Riodininae,Stalachtini,Stalachtis,euterpe,Stalachtis euterpe,NA,NA,NA,NA,NA,NA,NA
121,B_19331,Riodinidae,Riodininae,Calydnini,Calydna,nicolayi,Calydna nicolayi,1,325.050922,90.7909,90.7909,-1.802280792,-1.881276255,Schoepfiaceae
122,,Riodinidae,Riodininae,Dianesiini,Dianesia,carteri,Dianesia carteri,2,437.752392,225.40331,225.40331,-0.54776928,-0.490744864,Fabaceae Rosaceae
123,B_18443,Riodinidae,Riodininae,Mesosemiini,Semomesia,capanea,Semomesia capanea,NA,NA,NA,NA,NA,NA,NA
124,B_18341,Riodinidae,Riodininae,Mesosemiini,Mesosemia,lamachus,Mesosemia lamachus,NA,NA,NA,NA,NA,NA,NA
125,B_19432,Riodinidae,Riodininae,Eurybiini,Eurybia,nicaeus,Eurybia niceus,1,325.050502,99.499,99.499,-3.401095768,-1.627869293,Rubiaceae
126,B_18055,Riodinidae,Nemeobiinae,Abisarini,Abisara,echerius,Abisara echerius,NA,NA,NA,NA,NA,NA,NA
127,B_18152,Riodinidae,Nemeobiinae,Nemeobiini,Hamearis,lucina,Hamearis lucina,1,325.050484,188,188,-1.029242829,-0.831371958,Primulaceae
128,B_17931,Riodinidae,Nemeobiinae,Euselasiini,Euselasia,euromus,Euselasia euromus,3,584.696818,263.705832,255.5867947,0.02783593,-0.01735931,Rubiaceae Lauraceae Anacardiaceae
129,B_17743,Pieridae,Pierinae,Pierini,Pontia,beckerii,Pontia beckerii,5,720.074355,216.9971398,186.4528612,-0.889321106,-1.509395202,Akaniaceae Brassicaceae Tropaeolaceae Fabaceae Solanaceae
130,B_17149,Pieridae,Pierinae,Pierini,Ascia,monuste,Ascia monuste,5,720.074355,216.9971398,186.4528612,-0.889321106,-1.509395202,Akaniaceae Brassicaceae Tropaeolaceae Fabaceae Solanaceae
131,B_17691,Pieridae,Pierinae,Pierini,Neophasia,terlooii,Neophasia terlooii,5,720.074355,216.9971398,186.4528612,-0.889321106,-1.509395202,Akaniaceae Brassicaceae Tropaeolaceae Fabaceae Solanaceae
132,B_17124,Pieridae,Pierinae,Pierini,Appias,libythea,Appias libythea,5,720.074355,216.9971398,186.4528612,-0.889321106,-1.509395202,Akaniaceae Brassicaceae Tropaeolaceae Fabaceae Solanaceae
