Lep_family,Lep_accepted_name,PD,Num.families,mpd.obs,mpd.obs.z,mntd.obs,mntd.obs.z,host.module
Hesperiidae,Lerema accius,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,8
Hesperiidae,Lerodea eufala,418.872232,2,187.64298,-1.155152917,187.64298,-0.860297683,8
Hesperiidae,Leucochitonea levubu,325.050645,1,76.7222,-2.394140677,76.7222,-1.80105635,13
Hesperiidae,Lotongus calathus,325.050282,1,99.1432,-2.08219519,99.1432,-1.62615957,3
Hesperiidae,Lycas argentea,325.050952,1,11.01356,-2.752390494,11.01356,-2.405668855,8
Hesperiidae,Lychnuchoides ozias,325.050952,1,54.2995,-2.85844189,54.2995,-4.234056668,8
Hesperiidae,Matapa aria,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,8
Hesperiidae,Megathymus streckeri,325.050132,1,135.10077,-1.582455571,135.10077,-1.616411111,2
Hesperiidae,Megathymus ursus,325.050132,1,135.10077,-1.582455571,135.10077,-1.616411111,2
Hesperiidae,Megathymus yuccae,325.050132,1,135.10077,-1.582455571,135.10077,-1.616411111,2
Hesperiidae,Melphinyet flavina,325.050651,1,123.7924,-1.620257173,123.7924,-1.539543392,6
Hesperiidae,Melphinyet tarace,325.050651,1,123.7924,-1.620257173,123.7924,-1.539543392,6
Hesperiidae,Mesodina halyzia,325.050232,1,117.202,-1.671568967,117.202,-1.496469613,9
Hesperiidae,Metisella metis,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,8
Hesperiidae,Meza meza,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,8
Hesperiidae,Microceris variicolor,325.050502,1,192,-0.773400109,192,-0.886740072,7
Hesperiidae,Mimoniades ocyalus,325.050685,1,115.2222,-1.687745669,115.2222,-2.808993633,9
Hesperiidae,Mnasilus allubita,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,8
Hesperiidae,Moeros moeros,325.050282,1,99.1432,-2.08219519,99.1432,-1.62615957,3
Hesperiidae,Monza punctata,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,8
Hesperiidae,Morvina morvus,325.050657,1,67.3231,-1.972794239,67.3231,-2.556312816,7
Hesperiidae,Morys compta,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,8
Hesperiidae,Motasingha trimaculata,431.784672,2,213.46811,-0.651639322,213.46811,-0.645360576,8
Hesperiidae,Myscelus amystis,404.199254,2,158.29681,-1.996279415,158.29681,-1.296321149,13
Hesperiidae,Myscelus belti,325.050854,1,101.2678,-2.039729341,101.2678,-1.995775386,NA
Hesperiidae,Myscelus epimachia,325.050854,1,101.2678,-2.039729341,101.2678,-1.995775386,13
Hesperiidae,Myscelus nobilis,325.05007,1,75.9974,-3.075440647,75.9974,-2.017542043,7
Hesperiidae,Mysoria barcastus,325.050658,1,125.2141,-1.523911704,125.2141,-1.390436614,12
Hesperiidae,Narcosius colossus,460.962702,2,271.824592,-0.248592257,271.824592,-0.036403117,7
Hesperiidae,Nascus phocus,404.199254,2,158.29681,-1.996279415,158.29681,-1.296321149,13
Hesperiidae,Nastra julia,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,8
Hesperiidae,Neohesperilla croceus,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,8
Hesperiidae,Neohesperilla xanthomera,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,8
Hesperiidae,Neoxeniades braesia,325.050952,1,54.2995,-2.85844189,54.2995,-4.234056668,8
Hesperiidae,Netrobalane canopus,325.050645,1,76.7222,-2.394140677,76.7222,-1.80105635,13
Hesperiidae,Netrocoryne repanda,1333.492996,8,345.8940925,1.618692483,269.662316,1.485095596,2
Hesperiidae,Noctuana haematospila,325.050892,1,189.1223,-0.752323687,189.1223,-0.760538946,6
Hesperiidae,Notocrypta curvifascia,429.443172,3,108.43506,-2.655124244,100.34913,-2.965278098,3
Hesperiidae,Notocrypta feisthamelii,477.131932,4,105.4301883,-3.465124763,99.1062075,-3.363899602,3
Hesperiidae,Nyctelius nyctelius,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,8
Hesperiidae,Oarisma garita,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,8
